INFO: 03-11-2022 19:47:23 __init__(113) -- This is drone log from Drogno_5
INFO: 03-11-2022 19:48:23 log_status(194) -- Drogno_5: hovering	battery: 3.66                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 57	flight time: 2s                    	pos -0.94 0.08 0.71	yaw: -2.33	msg/s 0.0
INFO: 03-11-2022 19:48:24 log_status(194) -- Drogno_5: ready	battery: 3.61                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 3s                    	pos -0.95 -0.95 -0.95	yaw: -1.04	msg/s 0.0
INFO: 03-11-2022 19:48:25 log_status(194) -- Drogno_5: ready	battery: 3.62                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 53	flight time: 4s                    	pos -0.95 -0.95 -0.95	yaw: -0.88	msg/s 0.0
INFO: 03-11-2022 19:48:26 log_status(194) -- Drogno_5: ready	battery: 3.59                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 5s                    	pos -0.94 -0.94 -0.94	yaw: -0.42	msg/s 0.0
INFO: 03-11-2022 19:48:27 log_status(194) -- Drogno_5: ready	battery: 3.58                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 53	flight time: 6s                    	pos -0.94 -0.94 -0.94	yaw: 0.36	msg/s 0.0
INFO: 03-11-2022 19:48:28 log_status(194) -- Drogno_5: ready	battery: 3.58                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 53	flight time: 7s                    	pos -0.95 -0.95 -0.95	yaw: 0.47	msg/s 0.0
INFO: 03-11-2022 19:48:29 log_status(194) -- Drogno_5: ready	battery: 3.56                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 53	flight time: 8s                    	pos -0.95 -0.95 -0.95	yaw: 0.52	msg/s 0.0
INFO: 03-11-2022 19:48:30 log_status(194) -- Drogno_5: ready	battery: 3.55                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 78	flight time: 9s                    	pos -0.95 -0.95 -0.95	yaw: 0.34	msg/s 0.0
INFO: 03-11-2022 19:48:32 log_status(194) -- Drogno_5: ready	battery: 3.55                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 53	flight time: 10s                    	pos -0.95 -0.95 -0.95	yaw: 0.77	msg/s 0.0
INFO: 03-11-2022 19:48:33 log_status(194) -- Drogno_5: ready	battery: 3.51                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 61	flight time: 12s                    	pos -0.95 -0.95 -0.95	yaw: 0.45	msg/s 0.0
INFO: 03-11-2022 19:48:34 log_status(194) -- Drogno_5: ready	battery: 3.54                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 58	flight time: 13s                    	pos -0.95 -0.95 -0.95	yaw: 0.47	msg/s 0.0
INFO: 03-11-2022 19:48:35 log_status(194) -- Drogno_5: ready	battery: 3.49                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 55	flight time: 14s                    	pos -0.96 -0.96 -0.96	yaw: 0.78	msg/s 0.0
INFO: 03-11-2022 19:48:36 log_status(194) -- Drogno_5: ready	battery: 3.53                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 59	flight time: 15s                    	pos -0.95 -0.95 -0.95	yaw: 1.08	msg/s 0.0
INFO: 03-11-2022 19:48:37 log_status(194) -- Drogno_5: ready	battery: 3.5                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 53	flight time: 0s                    	pos -0.95 -0.95 -0.95	yaw: 0.75	msg/s 0.0
INFO: 03-11-2022 19:48:38 log_status(194) -- Drogno_5: ready	battery: 3.66                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 64	flight time: 2s                    	pos -0.96 -0.96 -0.96	yaw: 3.94	msg/s 0.0
INFO: 03-11-2022 19:48:39 log_status(194) -- Drogno_5: ready	battery: 3.54                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 53	flight time: 3s                    	pos -0.34 -0.34 -0.34	yaw: 87.88	msg/s 0.0
INFO: 03-11-2022 19:48:40 log_status(194) -- Drogno_5: ready	battery: 3.54                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 61	flight time: 4s                    	pos -0.61 -0.61 -0.61	yaw: -162.25	msg/s 0.0
INFO: 03-11-2022 19:48:41 log_status(194) -- Drogno_5: ready	battery: 3.59                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 56	flight time: 5s                    	pos -0.94 -0.94 -0.94	yaw: -142.88	msg/s 0.0
INFO: 03-11-2022 19:48:43 log_status(194) -- Drogno_5: ready	battery: 3.64                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 54	flight time: 6s                    	pos -0.95 -0.95 -0.95	yaw: -145.25	msg/s 0.0
INFO: 03-11-2022 19:48:44 log_status(194) -- Drogno_5: ready	battery: 3.64                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 7s                    	pos -0.94 -0.94 -0.94	yaw: -145.75	msg/s 0.0
INFO: 03-11-2022 19:48:45 log_status(194) -- Drogno_5: ready	battery: 3.69                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 53	flight time: 8s                    	pos -0.95 -0.95 -0.95	yaw: -149.75	msg/s 0.0
INFO: 03-11-2022 19:48:46 log_status(194) -- Drogno_5: ready	battery: 3.71                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 53	flight time: 9s                    	pos -0.95 -0.95 -0.95	yaw: -149.75	msg/s 0.0
INFO: 03-11-2022 19:48:47 log_status(194) -- Drogno_5: ready	battery: 3.74                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 53	flight time: 10s                    	pos -0.94 -0.94 -0.94	yaw: -150.62	msg/s 0.0
INFO: 03-11-2022 19:48:48 log_status(194) -- Drogno_5: ready	battery: 3.76                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 52	flight time: 11s                    	pos -0.94 -0.94 -0.94	yaw: -150.88	msg/s 0.0
INFO: 03-11-2022 19:48:49 log_status(194) -- Drogno_5: ready	battery: 3.75                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 53	flight time: 13s                    	pos -0.94 -0.94 -0.94	yaw: -151.88	msg/s 0.0
INFO: 03-11-2022 19:48:50 log_status(194) -- Drogno_5: ready	battery: 3.75                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 53	flight time: 14s                    	pos -0.95 -0.95 -0.95	yaw: -151.12	msg/s 0.0
INFO: 03-11-2022 19:48:51 log_status(194) -- Drogno_5: ready	battery: 3.76                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 54	flight time: 15s                    	pos -0.94 -0.94 -0.94	yaw: -150.25	msg/s 0.0
INFO: 03-11-2022 19:48:52 log_status(194) -- Drogno_5: ready	battery: 3.76                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 56	flight time: 16s                    	pos -0.95 -0.95 -0.95	yaw: -146.62	msg/s 0.0
WARNING: 03-11-2022 19:49:43 exit(698) -- closing Drogno_5
