INFO: 18-11-2022 19:48:32 __init__(113) -- This is drone log from Drogno_3
INFO: 18-11-2022 19:48:35 log_status(192) -- Logger started
INFO: 18-11-2022 19:50:07 log_status(196) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.701 0.701 0.008                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos 2.19 0.42 0.07	yaw: -0.02	msg/s 0.0
INFO: 18-11-2022 19:50:08 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.971 0.971 0.009                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos 2.98 0.56 0.09	yaw: -0.01	msg/s 0.0
INFO: 18-11-2022 19:50:09 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.237 1.237 0.01                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 3.73 0.68 0.11	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 19:50:10 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.608 1.608 0.012                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 4.75 0.84 0.14	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 19:50:11 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.963 1.963 0.013                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos 5.71 0.98 0.17	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 19:50:12 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.445 2.445 0.014                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos 6.98 1.16 0.20	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 19:50:14 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.895 2.895 0.015                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 8.12 1.31 0.23	yaw: 0.02	msg/s 0.0
INFO: 18-11-2022 19:50:15 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.5 3.5 0.016                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 9.63 1.50 0.27	yaw: 0.02	msg/s 0.0
INFO: 18-11-2022 19:50:16 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.062 4.062 0.017                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 10.98 1.66 0.30	yaw: 0.02	msg/s 0.0
INFO: 18-11-2022 19:50:17 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.805 4.805 0.019                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 12.73 1.87 0.35	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 19:50:18 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.484 5.484 0.02                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 14.28 2.04 0.39	yaw: -0.00	msg/s 0.0
INFO: 18-11-2022 19:50:19 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 6.367 6.367 0.021                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 16.25 2.25 0.44	yaw: -0.01	msg/s 0.0
INFO: 18-11-2022 19:50:20 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 7.176 7.176 0.022                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 18.00 2.43 0.49	yaw: -0.00	msg/s 0.0
INFO: 18-11-2022 19:50:21 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 8.227 8.227 0.023                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 20.23 2.65 0.54	yaw: -0.01	msg/s 0.0
INFO: 18-11-2022 19:50:22 log_status(196) -- Drogno_3: ready	battery: 4.19                    	kalman var: 9.172 9.172 0.025                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 22.19 2.84 0.60	yaw: -0.02	msg/s 0.0
INFO: 18-11-2022 19:50:23 log_status(196) -- Drogno_3: ready	battery: 4.2                    	kalman var: 10.391 10.391 0.026                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 24.66 3.07 0.67	yaw: -0.02	msg/s 0.0
INFO: 18-11-2022 19:50:25 log_status(196) -- Drogno_3: ready	battery: 4.2                    	kalman var: 11.484 11.484 0.027                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 26.81 3.27 0.73	yaw: -0.02	msg/s 0.0
INFO: 18-11-2022 19:50:26 log_status(196) -- Drogno_3: ready	battery: 4.19                    	kalman var: 12.883 12.883 0.028                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos 29.52 3.49 0.80	yaw: -0.01	msg/s 0.0
INFO: 18-11-2022 19:50:27 log_status(196) -- Drogno_3: ready	battery: 4.2                    	kalman var: 14.117 14.117 0.029                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 31.86 3.69 0.87	yaw: -0.02	msg/s 0.0
INFO: 18-11-2022 19:50:28 log_status(196) -- Drogno_3: ready	battery: 4.19                    	kalman var: 15.719 15.719 0.031                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 34.78 3.92 0.95	yaw: -0.02	msg/s 0.0
INFO: 18-11-2022 19:50:29 log_status(196) -- Drogno_3: ready	battery: 4.19                    	kalman var: 17.125 17.125 0.032                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 37.34 4.13 1.01	yaw: -0.02	msg/s 0.0
INFO: 18-11-2022 19:50:30 log_status(196) -- Drogno_3: ready	battery: 4.2                    	kalman var: 18.938 18.938 0.033                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos 40.53 4.38 1.10	yaw: -0.00	msg/s 0.0
INFO: 18-11-2022 19:50:31 log_status(196) -- Drogno_3: ready	battery: 4.2                    	kalman var: 20.516 20.516 0.034                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos 43.25 4.60 1.17	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 19:50:32 log_status(196) -- Drogno_3: ready	battery: 4.19                    	kalman var: 22.531 22.531 0.036                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos 46.62 4.87 1.25	yaw: 0.00	msg/s 0.0
INFO: 18-11-2022 19:50:33 log_status(196) -- Drogno_3: ready	battery: 4.19                    	kalman var: 24.312 24.312 0.037                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos 49.56 5.11 1.32	yaw: 0.00	msg/s 0.0
INFO: 18-11-2022 19:50:34 log_status(196) -- Drogno_3: ready	battery: 4.19                    	kalman var: 26.562 26.562 0.038                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos 53.22 5.39 1.41	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 19:50:36 log_status(196) -- Drogno_3: ready	battery: 4.19                    	kalman var: 28.547 28.547 0.039                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos 56.34 5.64 1.48	yaw: 0.00	msg/s 0.0
INFO: 18-11-2022 19:50:37 log_status(196) -- Drogno_3: ready	battery: 4.2                    	kalman var: 31.031 31.031 0.041                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos 60.22 5.93 1.57	yaw: 0.02	msg/s 0.0
INFO: 18-11-2022 19:50:38 log_status(196) -- Drogno_3: ready	battery: 4.19                    	kalman var: 33.219 33.219 0.042                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos 63.56 6.18 1.64	yaw: 0.00	msg/s 0.0
INFO: 18-11-2022 19:50:39 log_status(196) -- Drogno_3: ready	battery: 4.19                    	kalman var: 35.938 35.938 0.044                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos 67.62 6.48 1.73	yaw: -0.00	msg/s 0.0
INFO: 18-11-2022 19:50:40 log_status(196) -- Drogno_3: ready	battery: 4.19                    	kalman var: 38.344 38.344 0.045                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos 71.19 6.74 1.81	yaw: -0.00	msg/s 0.0
INFO: 18-11-2022 19:50:41 log_status(196) -- Drogno_3: ready	battery: 4.19                    	kalman var: 41.344 41.344 0.046                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos 75.56 7.05 1.91	yaw: 0.02	msg/s 0.0
INFO: 18-11-2022 19:50:42 log_status(196) -- Drogno_3: ready	battery: 4.19                    	kalman var: 43.969 43.969 0.048                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos 79.25 7.31 1.99	yaw: 0.03	msg/s 0.0
INFO: 18-11-2022 19:50:43 log_status(196) -- Drogno_3: ready	battery: 4.19                    	kalman var: 47.25 47.25 0.049                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos 83.88 7.62 2.09	yaw: 0.02	msg/s 0.0
