INFO: 18-11-2022 20:12:20 __init__(113) -- This is drone log from Drogno_3
INFO: 18-11-2022 20:14:06 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 2.242 2.242 0.014                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -6.38 -7.80 0.26	yaw: 0.00	msg/s 0.0
INFO: 18-11-2022 20:14:07 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 2.762 2.762 0.015                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -7.70 -9.48 0.32	yaw: -0.00	msg/s 0.0
INFO: 18-11-2022 20:14:08 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 3.248 3.248 0.016                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -8.91 -11.01 0.36	yaw: -0.00	msg/s 0.0
INFO: 18-11-2022 20:14:09 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 3.898 3.898 0.017                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -10.50 -13.03 0.43	yaw: -0.01	msg/s 0.0
INFO: 18-11-2022 20:14:10 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 4.5 4.5 0.019                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -11.92 -14.85 0.48	yaw: -0.01	msg/s 0.0
INFO: 18-11-2022 20:14:12 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 5.289 5.289 0.02                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -13.75 -17.20 0.56	yaw: -0.01	msg/s 0.0
INFO: 18-11-2022 20:14:13 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 6.004 6.004 0.021                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -15.36 -19.30 0.62	yaw: -0.02	msg/s 0.0
INFO: 18-11-2022 20:14:14 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 6.945 6.945 0.023                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -17.42 -22.02 0.70	yaw: -0.01	msg/s 0.0
INFO: 18-11-2022 20:14:15 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 7.801 7.801 0.024                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -19.25 -24.42 0.77	yaw: -0.01	msg/s 0.0
INFO: 18-11-2022 20:14:16 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 8.906 8.906 0.025                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -21.55 -27.50 0.86	yaw: -0.02	msg/s 0.0
