INFO: 18-11-2022 18:28:14 __init__(113) -- This is drone log from Drogno_3
INFO: 18-11-2022 18:29:20 log_status(194) -- Drogno_3: ready	battery: 3.37                    	kalman var: 0.005 0.005 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 0.02 0.03 -0.33	yaw: -1.23	msg/s 0.0
INFO: 18-11-2022 18:29:22 log_status(194) -- Drogno_3: ready	battery: 3.36                    	kalman var: 0.037 0.037 0.002                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 0.52 0.60 -2.25	yaw: -1.67	msg/s 0.0
INFO: 18-11-2022 18:29:23 log_status(194) -- Drogno_3: ready	battery: 3.34                    	kalman var: 0.09 0.09 0.003                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 1.29 1.64 -5.12	yaw: -0.97	msg/s 0.0
INFO: 18-11-2022 18:29:24 log_status(194) -- Drogno_3: ready	battery: 3.34                    	kalman var: 0.186 0.185 0.006                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 2.00 2.81 -10.66	yaw: -1.88	msg/s 0.0
INFO: 18-11-2022 18:29:25 log_status(194) -- Drogno_3: ready	battery: 3.34                    	kalman var: 0.294 0.296 0.007                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos 2.16 3.65 -17.22	yaw: -5.90	msg/s 0.0
INFO: 18-11-2022 18:29:26 log_status(194) -- Drogno_3: ready	battery: 3.36                    	kalman var: 0.465 0.468 0.01                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos 1.58 5.18 -27.12	yaw: -6.14	msg/s 0.0
INFO: 18-11-2022 18:29:27 log_status(194) -- Drogno_3: ready	battery: 3.3                    	kalman var: 0.002 0.002 0.001                    	batterySag: 0.5	link quality: 47	flight time: 1s                    	pos 0.01 -0.01 -0.19	yaw: 1.53	msg/s 0.0
INFO: 18-11-2022 18:29:28 log_status(194) -- Drogno_3: ready	battery: 3.29                    	kalman var: 0.002 0.002 0.001                    	batterySag: 0.5	link quality: 46	flight time: 2s                    	pos 0.31 0.31 0.31	yaw: 2.09	msg/s 0.0
INFO: 18-11-2022 18:29:29 log_status(194) -- Drogno_3: ready	battery: 3.3                    	kalman var: 0.002 0.002 0.001                    	batterySag: 0.5	link quality: 47	flight time: 4s                    	pos 0.90 0.90 0.90	yaw: 1.20	msg/s 0.0
INFO: 18-11-2022 18:29:30 log_status(194) -- Drogno_3: ready	battery: 3.34                    	kalman var: 0.002 0.002 0.001                    	batterySag: 0.5	link quality: 47	flight time: 5s                    	pos 1.59 1.59 1.59	yaw: 1.26	msg/s 0.0
INFO: 18-11-2022 18:29:32 log_status(194) -- Drogno_3: ready	battery: 3.34                    	kalman var: 0.002 0.002 0.001                    	batterySag: 0.5	link quality: 47	flight time: 6s                    	pos 2.30 2.30 2.30	yaw: 1.31	msg/s 0.0
INFO: 18-11-2022 18:29:33 log_status(194) -- Drogno_3: ready	battery: 3.33                    	kalman var: 0.002 0.002 0.001                    	batterySag: 0.5	link quality: 47	flight time: 7s                    	pos 0.00 0.00 0.00	yaw: 0.12	msg/s 0.0
INFO: 18-11-2022 18:29:34 log_status(194) -- Drogno_3: ready	battery: 3.3                    	kalman var: 0.002 0.002 0.001                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -0.00 -0.00 -0.00	yaw: 0.23	msg/s 0.0
INFO: 18-11-2022 18:29:35 log_status(194) -- Drogno_3: ready	battery: 3.27                    	kalman var: 0.066 0.066 0.003                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -0.03 -0.01 -5.46	yaw: 0.04	msg/s 0.0
WARNING: 18-11-2022 18:32:59 exit(704) -- closing Drogno_3
