INFO: 28-10-2022 16:59:25 __init__(112) -- This is drone log from Drogno_3
INFO: 28-10-2022 16:59:26 log_status(395) -- Logger started
INFO: 28-10-2022 17:01:04 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.791 1.791 0.012                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -5.55 -1.57 0.43	yaw: 0.09	msg/s 0.0
INFO: 28-10-2022 17:01:05 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.248 2.248 0.013                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -6.76 -1.91 0.51	yaw: 0.10	msg/s 0.0
INFO: 28-10-2022 17:01:06 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.68 2.68 0.014                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -7.86 -2.23 0.59	yaw: 0.10	msg/s 0.0
INFO: 28-10-2022 17:01:07 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.26 3.26 0.016                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -9.30 -2.65 0.69	yaw: 0.12	msg/s 0.0
INFO: 28-10-2022 17:01:08 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.797 3.797 0.017                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -10.59 -3.02 0.77	yaw: 0.12	msg/s 0.0
INFO: 28-10-2022 17:01:09 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.508 4.508 0.018                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -12.23 -3.51 0.89	yaw: 0.12	msg/s 0.0
INFO: 28-10-2022 17:01:11 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.156 5.156 0.019                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -13.68 -3.94 0.98	yaw: 0.13	msg/s 0.0
INFO: 28-10-2022 17:01:12 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 6.012 6.012 0.02                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -15.53 -4.49 1.11	yaw: 0.13	msg/s 0.0
INFO: 28-10-2022 17:01:13 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 6.789 6.789 0.021                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -17.16 -4.97 1.22	yaw: 0.14	msg/s 0.0
INFO: 28-10-2022 17:01:14 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 7.801 7.801 0.023                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -19.20 -5.59 1.36	yaw: 0.14	msg/s 0.0
INFO: 28-10-2022 17:01:15 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 8.719 8.719 0.024                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -21.00 -6.13 1.48	yaw: 0.14	msg/s 0.0
INFO: 28-10-2022 17:01:16 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 9.891 9.891 0.025                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -23.25 -6.82 1.63	yaw: 0.14	msg/s 0.0
INFO: 28-10-2022 17:01:17 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 10.953 10.953 0.026                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -25.20 -7.41 1.76	yaw: 0.14	msg/s 0.0
INFO: 28-10-2022 17:01:18 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 12.312 12.312 0.027                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -27.66 -8.16 1.93	yaw: 0.14	msg/s 0.0
INFO: 28-10-2022 17:01:19 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 13.781 13.781 0.028                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -30.22 -8.95 2.10	yaw: 0.14	msg/s 0.0
INFO: 28-10-2022 17:01:20 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 15.078 15.078 0.03                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -32.44 -9.62 2.25	yaw: 0.14	msg/s 0.0
INFO: 28-10-2022 17:01:22 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 16.719 16.719 0.031                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -35.16 -10.46 2.44	yaw: 0.15	msg/s 0.0
INFO: 28-10-2022 17:01:23 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 18.188 18.188 0.032                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -37.53 -11.20 2.60	yaw: 0.15	msg/s 0.0
INFO: 28-10-2022 17:01:24 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 20.062 20.062 0.033                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos -40.47 -12.09 2.80	yaw: 0.16	msg/s 0.0
INFO: 28-10-2022 17:01:25 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 21.719 21.719 0.034                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos -43.03 -12.87 2.97	yaw: 0.15	msg/s 0.0
INFO: 28-10-2022 17:01:26 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 23.812 23.812 0.035                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos -46.16 -13.81 3.18	yaw: 0.15	msg/s 0.0
WARNING: 28-10-2022 17:01:27 exit(696) -- closing Drogno_3
