INFO: 26-10-2022 18:13:59 __init__(111) -- This is drone log from Drogno_1
INFO: 26-10-2022 18:14:50 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 53	flight time: 0s                    	pos 1.70 1.47 2.65	yaw: 78.56	msg/s 0.0
INFO: 26-10-2022 18:14:52 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos 1.71 1.47 2.66	yaw: 79.50	msg/s 0.0
INFO: 26-10-2022 18:14:53 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos 1.68 1.47 2.63	yaw: 77.38	msg/s 0.0
INFO: 26-10-2022 18:14:54 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.72 1.47 2.67	yaw: 78.25	msg/s 0.0
INFO: 26-10-2022 18:14:55 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.69 1.47 2.64	yaw: 77.62	msg/s 0.0
INFO: 26-10-2022 18:14:56 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.71 1.46 2.65	yaw: 75.94	msg/s 0.0
INFO: 26-10-2022 18:14:57 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.70 1.47 2.65	yaw: 77.88	msg/s 0.0
INFO: 26-10-2022 18:14:58 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos 1.70 1.47 2.65	yaw: 78.12	msg/s 0.0
INFO: 26-10-2022 18:14:59 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.001 0.001                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.69 1.46 2.64	yaw: 75.44	msg/s 0.0
INFO: 26-10-2022 18:15:00 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.68 1.47 2.64	yaw: 77.44	msg/s 0.0
INFO: 26-10-2022 18:15:01 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.71 1.46 2.66	yaw: 78.62	msg/s 0.0
INFO: 26-10-2022 18:15:03 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.001 0.001                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.69 1.46 2.64	yaw: 76.62	msg/s 0.0
INFO: 26-10-2022 18:15:04 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.71 1.46 2.66	yaw: 80.12	msg/s 0.0
INFO: 26-10-2022 18:15:05 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.71 1.47 2.66	yaw: 78.38	msg/s 0.0
INFO: 26-10-2022 18:15:06 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.71 1.47 2.66	yaw: 79.81	msg/s 0.0
INFO: 26-10-2022 18:15:07 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.70 1.46 2.65	yaw: 77.81	msg/s 0.0
INFO: 26-10-2022 18:15:08 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.70 1.47 2.65	yaw: 77.31	msg/s 0.0
INFO: 26-10-2022 18:15:09 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.001 0.001                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.70 1.47 2.65	yaw: 76.00	msg/s 0.0
INFO: 26-10-2022 18:15:10 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.69 1.47 2.64	yaw: 76.88	msg/s 0.0
INFO: 26-10-2022 18:15:11 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.70 1.47 2.65	yaw: 78.25	msg/s 0.0
