INFO: 28-10-2022 20:01:24 __init__(112) -- This is drone log from Drogno_3
INFO: 28-10-2022 20:02:15 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.875 4.875 0.019                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.89 -33.34 -2.23	yaw: 0.00	msg/s 0.0
INFO: 28-10-2022 20:02:16 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.562 5.562 0.02                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 2.09 -37.25 -2.50	yaw: 0.00	msg/s 0.0
INFO: 28-10-2022 20:02:17 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 6.457 6.457 0.021                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 2.34 -42.25 -2.83	yaw: -0.00	msg/s 0.0
INFO: 28-10-2022 20:02:18 log_status(187) -- Drogno_3: seq1	battery: 4.19                    	kalman var: 7.273 7.273 0.022                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 2.55 -46.62 -3.13	yaw: -0.00	msg/s 0.9
INFO: 28-10-2022 20:02:20 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 8.32 8.32 0.023                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 2.81 -52.12 -3.51	yaw: -0.00	msg/s 0.9
INFO: 28-10-2022 20:02:21 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 9.273 9.273 0.024                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 3.04 -57.00 -3.84	yaw: 0.00	msg/s 0.9
INFO: 28-10-2022 20:02:22 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 10.5 10.5 0.026                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 3.32 -63.12 -4.26	yaw: -0.02	msg/s 0.9
INFO: 28-10-2022 20:02:23 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 11.602 11.602 0.027                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 3.55 -68.44 -4.62	yaw: -0.02	msg/s 0.0
INFO: 28-10-2022 20:02:24 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 13.0 13.0 0.028                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 3.84 -75.06 -5.09	yaw: -0.01	msg/s 1.8
INFO: 28-10-2022 20:02:25 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 14.258 14.258 0.029                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 4.07 -80.88 -5.48	yaw: -0.01	msg/s 1.8
INFO: 28-10-2022 20:02:26 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 15.867 15.867 0.03                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 4.36 -88.12 -5.99	yaw: -0.01	msg/s 1.8
INFO: 28-10-2022 20:02:27 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 17.297 17.297 0.031                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 4.61 -94.38 -6.42	yaw: -0.01	msg/s 1.8
INFO: 28-10-2022 20:02:28 log_status(187) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.001 0.0                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos -0.00 -0.01 -0.00	yaw: -0.00	msg/s 0.9
INFO: 28-10-2022 20:02:29 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.018 0.018 0.001                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.00 -0.18 -0.02	yaw: 0.01	msg/s 0.9
INFO: 28-10-2022 20:02:31 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.067 0.067 0.003                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.02 -0.67 -0.06	yaw: 0.02	msg/s 0.0
