INFO: 27-10-2022 19:54:02 __init__(112) -- This is drone log from Drogno_3
INFO: 27-10-2022 19:55:15 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 0.704 0.704 0.008                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -3.01 -5.79 -0.02	yaw: 0.07	msg/s 0.0
INFO: 27-10-2022 19:55:16 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 0.927 0.927 0.009                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -3.89 -7.43 -0.03	yaw: 0.07	msg/s 0.0
INFO: 27-10-2022 19:55:17 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 1.242 1.243 0.01                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -5.09 -9.68 -0.04	yaw: 0.07	msg/s 0.0
INFO: 27-10-2022 19:55:19 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 1.549 1.549 0.011                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -6.22 -11.78 -0.06	yaw: 0.08	msg/s 0.0
INFO: 27-10-2022 19:55:20 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 1.968 1.968 0.013                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -7.73 -14.56 -0.07	yaw: 0.10	msg/s 0.0
INFO: 27-10-2022 19:55:21 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 2.367 2.367 0.014                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -9.12 -17.11 -0.09	yaw: 0.10	msg/s 0.0
INFO: 27-10-2022 19:55:22 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 2.906 2.906 0.015                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -10.97 -20.45 -0.12	yaw: 0.10	msg/s 0.0
INFO: 27-10-2022 19:55:23 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 3.406 3.406 0.016                    	batterySag: 0.5	link quality: 53	flight time: 0s                    	pos -12.62 -23.44 -0.14	yaw: 0.09	msg/s 0.0
INFO: 27-10-2022 19:55:24 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 4.074 4.074 0.017                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -14.80 -27.31 -0.18	yaw: 0.10	msg/s 0.0
INFO: 27-10-2022 19:55:25 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 4.688 4.688 0.018                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -16.75 -30.77 -0.21	yaw: 0.09	msg/s 0.0
INFO: 27-10-2022 19:55:26 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 5.5 5.5 0.02                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos -19.27 -35.22 -0.24	yaw: 0.09	msg/s 0.0
INFO: 27-10-2022 19:55:27 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 6.238 6.238 0.021                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos -21.50 -39.12 -0.28	yaw: 0.09	msg/s 0.0
INFO: 27-10-2022 19:55:28 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 7.199 7.199 0.022                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos -24.36 -44.09 -0.31	yaw: 0.09	msg/s 0.0
INFO: 27-10-2022 19:55:30 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 8.07 8.07 0.023                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos -26.89 -48.50 -0.35	yaw: 0.10	msg/s 0.0
INFO: 27-10-2022 19:55:31 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 9.188 9.188 0.025                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos -30.06 -53.97 -0.38	yaw: 0.10	msg/s 0.0
INFO: 27-10-2022 19:55:32 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 10.203 10.203 0.026                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos -32.88 -58.81 -0.41	yaw: 0.09	msg/s 0.0
INFO: 27-10-2022 19:55:33 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 11.508 11.508 0.027                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos -36.44 -64.88 -0.45	yaw: 0.10	msg/s 0.0
INFO: 27-10-2022 19:55:34 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 12.672 12.672 0.028                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos -39.53 -70.19 -0.48	yaw: 0.11	msg/s 0.0
INFO: 27-10-2022 19:55:35 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 14.164 14.164 0.03                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos -43.44 -76.88 -0.52	yaw: 0.11	msg/s 0.0
INFO: 27-10-2022 19:55:36 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 15.484 15.484 0.031                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos -46.81 -82.56 -0.54	yaw: 0.11	msg/s 0.0
INFO: 27-10-2022 19:55:37 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 17.172 17.172 0.032                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos -51.06 -89.75 -0.58	yaw: 0.11	msg/s 0.0
INFO: 27-10-2022 19:55:38 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 18.672 18.672 0.033                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos -54.75 -96.00 -0.62	yaw: 0.11	msg/s 0.0
INFO: 27-10-2022 19:55:40 log_status(399) -- Drogno_3: ready	battery: 4.2                    	kalman var: 0.003 0.003 0.001                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos -0.02 -0.03 0.00	yaw: 0.01	msg/s 0.0
