INFO: 28-10-2022 19:54:41 __init__(112) -- This is drone log from Drogno_3
INFO: 28-10-2022 19:55:50 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.938 5.938 0.021                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -8.77 -45.16 -0.09	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 19:55:51 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 6.707 6.707 0.022                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -9.82 -50.16 -0.11	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 19:55:52 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 7.715 7.715 0.024                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -11.18 -56.53 -0.14	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 19:55:53 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 8.617 8.617 0.025                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -12.38 -62.09 -0.17	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 19:55:54 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 9.789 9.789 0.027                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -13.93 -69.19 -0.20	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 19:55:55 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 10.836 10.836 0.028                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -15.29 -75.44 -0.22	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 19:55:56 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 12.195 12.188 0.03                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -17.03 -83.25 -0.25	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 19:55:57 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 13.398 13.398 0.031                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -18.55 -90.12 -0.27	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 19:55:58 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 14.938 14.938 0.033                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -20.48 -98.69 -0.29	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 19:56:00 log_status(187) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.007 0.007 0.001                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -0.01 -0.07 -0.00	yaw: -0.00	msg/s 0.0
INFO: 28-10-2022 19:56:01 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.042 0.042 0.002                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -0.08 -0.44 -0.01	yaw: -0.00	msg/s 0.0
INFO: 28-10-2022 19:56:02 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.098 0.098 0.003                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -0.18 -1.00 -0.02	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:56:03 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.198 0.198 0.005                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -0.35 -1.98 -0.03	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:56:04 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.312 0.312 0.006                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -0.56 -3.07 -0.05	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:56:05 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.488 0.488 0.007                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -0.87 -4.70 -0.08	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:56:06 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.669 0.669 0.008                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -1.19 -6.33 -0.11	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:56:07 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.933 0.933 0.009                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -1.64 -8.62 -0.14	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:56:08 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.192 1.192 0.01                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -2.09 -10.83 -0.18	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 19:56:09 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.557 1.557 0.012                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -2.72 -13.82 -0.23	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 19:56:11 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.905 1.905 0.013                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -3.31 -16.61 -0.27	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 19:56:12 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.377 2.377 0.014                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -4.09 -20.28 -0.33	yaw: 0.00	msg/s 0.0
INFO: 28-10-2022 19:56:13 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.822 2.822 0.015                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -4.84 -23.66 -0.39	yaw: 0.00	msg/s 0.0
INFO: 28-10-2022 19:56:14 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.42 3.42 0.017                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -5.82 -28.06 -0.46	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:56:15 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.975 3.975 0.018                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -6.73 -32.06 -0.52	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:56:16 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.711 4.707 0.019                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -7.91 -37.19 -0.60	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:56:17 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.379 5.379 0.02                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -8.97 -41.78 -0.67	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:56:18 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 6.254 6.254 0.022                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -10.34 -47.62 -0.75	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 19:56:19 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 7.051 7.051 0.023                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -11.56 -52.81 -0.83	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 19:56:20 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 8.086 8.086 0.025                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -13.14 -59.41 -0.91	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 19:56:22 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 9.016 9.016 0.026                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -14.54 -65.25 -0.99	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 19:56:23 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 10.227 10.227 0.028                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -16.31 -72.56 -1.07	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 19:56:24 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 11.305 11.305 0.03                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -17.89 -79.00 -1.14	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 19:56:25 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 12.695 12.695 0.031                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -19.88 -87.12 -1.23	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 19:56:26 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 13.93 13.93 0.033                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -21.62 -94.12 -1.29	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 19:56:27 log_status(187) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.002 0.002 0.001                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -0.00 -0.02 -0.00	yaw: -0.00	msg/s 0.0
INFO: 28-10-2022 19:56:28 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.02 0.02 0.002                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -0.03 -0.21 -0.00	yaw: -0.00	msg/s 0.0
INFO: 28-10-2022 19:56:29 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.071 0.071 0.003                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -0.13 -0.73 -0.01	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:56:30 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.158 0.158 0.004                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -0.29 -1.58 -0.03	yaw: 0.00	msg/s 0.0
INFO: 28-10-2022 19:56:31 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.26 0.26 0.005                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -0.48 -2.54 -0.04	yaw: -0.00	msg/s 0.0
INFO: 28-10-2022 19:56:33 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.421 0.421 0.006                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -0.78 -4.02 -0.07	yaw: -0.00	msg/s 0.0
INFO: 28-10-2022 19:56:34 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.589 0.589 0.007                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -1.10 -5.53 -0.09	yaw: -0.01	msg/s 0.0
INFO: 28-10-2022 19:56:35 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.835 0.835 0.009                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -1.57 -7.67 -0.12	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:56:36 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.08 1.08 0.01                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -2.03 -9.74 -0.15	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:56:37 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.421 1.421 0.011                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -2.67 -12.55 -0.19	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:56:38 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.751 1.751 0.012                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -3.27 -15.18 -0.23	yaw: 0.00	msg/s 0.0
INFO: 28-10-2022 19:56:39 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.203 2.203 0.014                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -4.09 -18.69 -0.28	yaw: 0.01	msg/s 0.0
