INFO: 28-10-2022 21:55:48 __init__(112) -- This is drone log from Drogno_3
INFO: 28-10-2022 21:57:26 log_status(194) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.162 0.162 0.004                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.10 -1.58 -0.02	yaw: -0.03	msg/s 0.0
INFO: 28-10-2022 21:57:28 log_status(194) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.289 0.289 0.005                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.16 -2.72 -0.04	yaw: -0.03	msg/s 0.0
INFO: 28-10-2022 21:57:29 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.427 0.427 0.007                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.21 -3.90 -0.06	yaw: -0.04	msg/s 0.0
INFO: 28-10-2022 21:57:30 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.636 0.636 0.008                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.28 -5.61 -0.09	yaw: -0.05	msg/s 0.0
INFO: 28-10-2022 21:57:31 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.846 0.846 0.009                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.33 -7.27 -0.12	yaw: -0.04	msg/s 0.0
INFO: 28-10-2022 21:57:32 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.147 1.147 0.01                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.40 -9.54 -0.16	yaw: -0.04	msg/s 0.0
INFO: 28-10-2022 21:57:33 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.438 1.438 0.011                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.46 -11.65 -0.20	yaw: -0.05	msg/s 0.0
INFO: 28-10-2022 21:57:34 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.842 1.842 0.012                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.53 -14.48 -0.25	yaw: -0.05	msg/s 0.0
INFO: 28-10-2022 21:57:35 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.227 2.227 0.014                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.58 -17.06 -0.29	yaw: -0.05	msg/s 0.0
INFO: 28-10-2022 21:57:36 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.748 2.748 0.015                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.64 -20.45 -0.35	yaw: -0.04	msg/s 0.0
INFO: 28-10-2022 21:57:37 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.234 3.234 0.016                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.68 -23.52 -0.40	yaw: -0.05	msg/s 0.0
INFO: 28-10-2022 21:57:39 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.879 3.879 0.017                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.73 -27.44 -0.47	yaw: -0.04	msg/s 0.0
INFO: 28-10-2022 21:57:40 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.477 4.477 0.018                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.76 -30.97 -0.53	yaw: -0.05	msg/s 0.0
INFO: 28-10-2022 21:57:41 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.266 5.266 0.02                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.80 -35.47 -0.60	yaw: -0.06	msg/s 0.0
