INFO: 26-10-2022 17:41:27 __init__(111) -- This is drone log from Drogno_6
INFO: 26-10-2022 17:43:02 log_status(397) -- Drogno_6: ready	battery: 3.66                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.59 1.44 2.67	yaw: -152.38	msg/s 0.0
INFO: 26-10-2022 17:43:03 log_status(397) -- Drogno_6: ready	battery: 3.65                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.59 1.44 2.67	yaw: -152.50	msg/s 0.0
INFO: 26-10-2022 17:43:04 log_status(397) -- Drogno_6: ready	battery: 3.65                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.56 1.44 2.65	yaw: -152.25	msg/s 0.0
INFO: 26-10-2022 17:43:06 log_status(397) -- Drogno_6: ready	battery: 3.65                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.58 1.44 2.67	yaw: -152.50	msg/s 0.0
INFO: 26-10-2022 17:43:07 log_status(397) -- Drogno_6: ready	battery: 3.65                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.58 1.44 2.66	yaw: -152.50	msg/s 0.0
INFO: 26-10-2022 17:43:08 log_status(397) -- Drogno_6: ready	battery: 3.65                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.58 1.44 2.66	yaw: -152.38	msg/s 0.0
INFO: 26-10-2022 17:43:09 log_status(397) -- Drogno_6: ready	battery: 3.65                    	kalman var: 0.001 0.0 0.0                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.56 1.43 2.63	yaw: -152.25	msg/s 0.0
INFO: 26-10-2022 17:43:10 log_status(397) -- Drogno_6: ready	battery: 3.65                    	kalman var: 0.001 0.0 0.0                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.49 1.43 2.59	yaw: -152.25	msg/s 0.0
INFO: 26-10-2022 17:43:11 log_status(397) -- Drogno_6: ready	battery: 3.65                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.58 1.44 2.66	yaw: -152.38	msg/s 0.0
INFO: 26-10-2022 17:43:12 log_status(397) -- Drogno_6: landing	battery: 3.65                    	kalman var: 0.001 0.0 0.0                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.56 1.43 2.62	yaw: -152.38	msg/s 0.0
