INFO: 28-10-2022 22:02:29 __init__(112) -- This is drone log from Drogno_3
INFO: 28-10-2022 22:02:32 log_status(191) -- Logger started
INFO: 28-10-2022 22:03:47 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.377 3.377 0.016                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 3.29 -25.23 -0.64	yaw: 0.12	msg/s 0.0
INFO: 28-10-2022 22:03:48 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.926 3.926 0.017                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 3.80 -28.75 -0.73	yaw: 0.12	msg/s 0.0
INFO: 28-10-2022 22:03:49 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.656 4.656 0.019                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 4.47 -33.25 -0.84	yaw: 0.13	msg/s 0.0
INFO: 28-10-2022 22:03:50 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.324 5.324 0.02                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 5.09 -37.25 -0.94	yaw: 0.14	msg/s 0.0
INFO: 28-10-2022 22:03:51 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 6.191 6.191 0.021                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 5.87 -42.31 -1.06	yaw: 0.14	msg/s 0.0
INFO: 28-10-2022 22:03:52 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 6.984 6.984 0.022                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 6.57 -46.81 -1.16	yaw: 0.14	msg/s 0.0
INFO: 28-10-2022 22:03:53 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 8.023 8.023 0.023                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 7.49 -52.53 -1.29	yaw: 0.14	msg/s 0.0
INFO: 28-10-2022 22:03:55 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 8.953 8.953 0.024                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 8.30 -57.56 -1.41	yaw: 0.14	msg/s 0.0
INFO: 28-10-2022 22:03:56 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 10.164 10.164 0.026                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 9.33 -63.84 -1.55	yaw: 0.14	msg/s 0.0
INFO: 28-10-2022 22:03:57 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 11.242 11.242 0.027                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 10.24 -69.38 -1.67	yaw: 0.16	msg/s 0.0
INFO: 28-10-2022 22:03:58 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 12.625 12.625 0.028                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 11.38 -76.31 -1.82	yaw: 0.16	msg/s 0.0
INFO: 28-10-2022 22:03:59 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 13.859 13.859 0.029                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 12.39 -82.31 -1.95	yaw: 0.16	msg/s 0.0
INFO: 28-10-2022 22:04:00 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 15.445 15.445 0.031                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 13.66 -89.88 -2.11	yaw: 0.14	msg/s 0.0
INFO: 28-10-2022 22:04:01 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 16.828 16.828 0.032                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 14.76 -96.31 -2.25	yaw: 0.13	msg/s 0.0
INFO: 28-10-2022 22:04:02 log_status(195) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.004 0.004 0.001                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.00 -0.05 -0.00	yaw: 0.00	msg/s 0.0
