INFO: 01-08-2022 16:48:30 __init__(126) -- This is dronelog running on Drogno_3
INFO: 01-08-2022 16:48:31 printStatus(162) -- Started
INFO: 01-08-2022 16:50:13 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 48.88	msg/s 0.0
INFO: 01-08-2022 16:50:15 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.38	msg/s 0.0
INFO: 01-08-2022 16:50:16 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.001 0.001 0.001	 batterySag: 0.66	link quality: 42	flight time: 13s	pos 0.00 -0.00 -0.00	yaw: 47.94	msg/s 0.0
INFO: 01-08-2022 16:50:17 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.001 0.001 0.001	 batterySag: 0.66	link quality: 42	flight time: 13s	pos 0.00 -0.00 -0.00	yaw: 48.06	msg/s 0.0
INFO: 01-08-2022 16:50:18 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.16	msg/s 0.0
INFO: 01-08-2022 16:50:19 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.001	 batterySag: 0.66	link quality: 42	flight time: 13s	pos 0.00 -0.00 -0.00	yaw: 49.41	msg/s 0.0
INFO: 01-08-2022 16:50:20 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.09	msg/s 0.0
INFO: 01-08-2022 16:50:21 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 48.91	msg/s 0.0
INFO: 01-08-2022 16:50:22 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.41	msg/s 0.0
INFO: 01-08-2022 16:50:23 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.001 0.001 0.001	 batterySag: 0.66	link quality: 42	flight time: 13s	pos 0.00 -0.00 -0.00	yaw: 48.66	msg/s 0.0
INFO: 01-08-2022 16:50:25 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.001	 batterySag: 0.66	link quality: 42	flight time: 13s	pos 0.00 -0.00 -0.00	yaw: 48.53	msg/s 0.0
INFO: 01-08-2022 16:50:26 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.001 0.001 0.001	 batterySag: 0.66	link quality: 42	flight time: 13s	pos 0.00 -0.00 -0.00	yaw: 46.84	msg/s 0.0
INFO: 01-08-2022 16:50:27 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.001 0.001 0.001	 batterySag: 0.66	link quality: 42	flight time: 13s	pos 0.00 0.00 -0.01	yaw: 48.84	msg/s 0.0
INFO: 01-08-2022 16:50:28 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 48.91	msg/s 0.0
INFO: 01-08-2022 16:50:29 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.34	msg/s 0.0
